,roi_id,tdm_id,mask_name
0,0,0,MNI_space_thr_50_Arcuate_Fasciculus_L_mask.nii.gz
1,0,1,MNI_space_thr_50_Arcuate_Fasciculus_L_mask.nii.gz
2,1,0,MNI_space_thr_50_Arcuate_Fasciculus_R_mask.nii.gz
3,1,1,MNI_space_thr_50_Arcuate_Fasciculus_R_mask.nii.gz
4,2,0,MNI_space_thr_50_Cingulum_Frontal_Parahippocampal_L_mask.nii.gz
5,2,1,MNI_space_thr_50_Cingulum_Frontal_Parahippocampal_L_mask.nii.gz
6,3,0,MNI_space_thr_50_Cingulum_Frontal_Parahippocampal_R_mask.nii.gz
7,3,1,MNI_space_thr_50_Cingulum_Frontal_Parahippocampal_R_mask.nii.gz
8,4,0,MNI_space_thr_50_Cingulum_Frontal_Parietal_L_mask.nii.gz
9,4,1,MNI_space_thr_50_Cingulum_Frontal_Parietal_L_mask.nii.gz
10,5,0,MNI_space_thr_50_Cingulum_Frontal_Parietal_R_mask.nii.gz
11,5,1,MNI_space_thr_50_Cingulum_Frontal_Parietal_R_mask.nii.gz
12,6,0,MNI_space_thr_50_Cingulum_Parahippocampal_L_mask.nii.gz
13,6,1,MNI_space_thr_50_Cingulum_Parahippocampal_L_mask.nii.gz
14,7,0,MNI_space_thr_50_Cingulum_Parahippocampal_Parietal_L_mask.nii.gz
15,7,1,MNI_space_thr_50_Cingulum_Parahippocampal_Parietal_L_mask.nii.gz
16,8,0,MNI_space_thr_50_Cingulum_Parahippocampal_Parietal_R_mask.nii.gz
17,8,1,MNI_space_thr_50_Cingulum_Parahippocampal_Parietal_R_mask.nii.gz
18,9,0,MNI_space_thr_50_Cingulum_Parahippocampal_R_mask.nii.gz
19,9,1,MNI_space_thr_50_Cingulum_Parahippocampal_R_mask.nii.gz
20,10,0,MNI_space_thr_50_Cingulum_Rarolfactory_L_mask.nii.gz
21,10,1,MNI_space_thr_50_Cingulum_Rarolfactory_L_mask.nii.gz
22,11,0,MNI_space_thr_50_Cingulum_Rarolfactory_R_mask.nii.gz
23,11,1,MNI_space_thr_50_Cingulum_Rarolfactory_R_mask.nii.gz
24,12,0,MNI_space_thr_50_Corpus_Callosum_Body_mask.nii.gz
25,12,1,MNI_space_thr_50_Corpus_Callosum_Body_mask.nii.gz
26,12,2,MNI_space_thr_50_Corpus_Callosum_Body_mask.nii.gz
27,13,0,MNI_space_thr_50_Corpus_Callosum_Forceps_Major_mask.nii.gz
28,13,1,MNI_space_thr_50_Corpus_Callosum_Forceps_Major_mask.nii.gz
29,13,2,MNI_space_thr_50_Corpus_Callosum_Forceps_Major_mask.nii.gz
30,14,0,MNI_space_thr_50_Corpus_Callosum_Forceps_Minor_mask.nii.gz
31,14,1,MNI_space_thr_50_Corpus_Callosum_Forceps_Minor_mask.nii.gz
32,15,0,MNI_space_thr_50_Corpus_Callosum_Tapetum_mask.nii.gz
33,15,1,MNI_space_thr_50_Corpus_Callosum_Tapetum_mask.nii.gz
34,16,0,MNI_space_thr_50_Corticobulbar_Tract_L_mask.nii.gz
35,16,1,MNI_space_thr_50_Corticobulbar_Tract_L_mask.nii.gz
36,17,0,MNI_space_thr_50_Corticobulbar_Tract_R_mask.nii.gz
37,17,1,MNI_space_thr_50_Corticobulbar_Tract_R_mask.nii.gz
38,18,0,MNI_space_thr_50_Corticopontine_Tract_Frontal_L_mask.nii.gz
39,18,1,MNI_space_thr_50_Corticopontine_Tract_Frontal_L_mask.nii.gz
40,19,0,MNI_space_thr_50_Corticopontine_Tract_Frontal_R_mask.nii.gz
41,19,1,MNI_space_thr_50_Corticopontine_Tract_Frontal_R_mask.nii.gz
42,20,0,MNI_space_thr_50_Corticopontine_Tract_Occipital_L_mask.nii.gz
43,20,1,MNI_space_thr_50_Corticopontine_Tract_Occipital_L_mask.nii.gz
44,21,0,MNI_space_thr_50_Corticopontine_Tract_Occipital_R_mask.nii.gz
45,21,1,MNI_space_thr_50_Corticopontine_Tract_Occipital_R_mask.nii.gz
46,22,0,MNI_space_thr_50_Corticopontine_Tract_Parietal_L_mask.nii.gz
47,22,1,MNI_space_thr_50_Corticopontine_Tract_Parietal_L_mask.nii.gz
48,23,0,MNI_space_thr_50_Corticopontine_Tract_Parietal_R_mask.nii.gz
49,23,1,MNI_space_thr_50_Corticopontine_Tract_Parietal_R_mask.nii.gz
50,24,0,MNI_space_thr_50_Corticospinal_Tract_L_mask.nii.gz
51,24,1,MNI_space_thr_50_Corticospinal_Tract_L_mask.nii.gz
52,25,0,MNI_space_thr_50_Corticospinal_Tract_R_mask.nii.gz
53,25,1,MNI_space_thr_50_Corticospinal_Tract_R_mask.nii.gz
54,26,0,MNI_space_thr_50_Corticostriatal_Tract_Anterior_L_mask.nii.gz
55,26,1,MNI_space_thr_50_Corticostriatal_Tract_Anterior_L_mask.nii.gz
56,26,2,MNI_space_thr_50_Corticostriatal_Tract_Anterior_L_mask.nii.gz
57,27,0,MNI_space_thr_50_Corticostriatal_Tract_Anterior_R_mask.nii.gz
58,27,1,MNI_space_thr_50_Corticostriatal_Tract_Anterior_R_mask.nii.gz
59,27,2,MNI_space_thr_50_Corticostriatal_Tract_Anterior_R_mask.nii.gz
60,28,0,MNI_space_thr_50_Corticostriatal_Tract_Posterior_L_mask.nii.gz
61,28,1,MNI_space_thr_50_Corticostriatal_Tract_Posterior_L_mask.nii.gz
62,29,0,MNI_space_thr_50_Corticostriatal_Tract_Posterior_R_mask.nii.gz
63,29,1,MNI_space_thr_50_Corticostriatal_Tract_Posterior_R_mask.nii.gz
64,30,0,MNI_space_thr_50_Corticostriatal_Tract_Superior_L_mask.nii.gz
65,30,1,MNI_space_thr_50_Corticostriatal_Tract_Superior_L_mask.nii.gz
66,30,2,MNI_space_thr_50_Corticostriatal_Tract_Superior_L_mask.nii.gz
67,31,0,MNI_space_thr_50_Corticostriatal_Tract_Superior_R_mask.nii.gz
68,31,1,MNI_space_thr_50_Corticostriatal_Tract_Superior_R_mask.nii.gz
69,31,2,MNI_space_thr_50_Corticostriatal_Tract_Superior_R_mask.nii.gz
70,32,0,MNI_space_thr_50_Fornix_L_mask.nii.gz
71,33,0,MNI_space_thr_50_Fornix_R_mask.nii.gz
72,34,0,MNI_space_thr_50_Frontal_Aslant_Tract_L_mask.nii.gz
73,34,1,MNI_space_thr_50_Frontal_Aslant_Tract_L_mask.nii.gz
74,34,2,MNI_space_thr_50_Frontal_Aslant_Tract_L_mask.nii.gz
75,35,0,MNI_space_thr_50_Frontal_Aslant_Tract_R_mask.nii.gz
76,35,1,MNI_space_thr_50_Frontal_Aslant_Tract_R_mask.nii.gz
77,36,0,MNI_space_thr_50_Inferior_Fronto_Occipital_Fasciculus_L_mask.nii.gz
78,36,1,MNI_space_thr_50_Inferior_Fronto_Occipital_Fasciculus_L_mask.nii.gz
79,36,2,MNI_space_thr_50_Inferior_Fronto_Occipital_Fasciculus_L_mask.nii.gz
80,37,0,MNI_space_thr_50_Inferior_Fronto_Occipital_Fasciculus_R_mask.nii.gz
81,37,1,MNI_space_thr_50_Inferior_Fronto_Occipital_Fasciculus_R_mask.nii.gz
82,37,2,MNI_space_thr_50_Inferior_Fronto_Occipital_Fasciculus_R_mask.nii.gz
83,38,0,MNI_space_thr_50_Inferior_Longitudinal_Fasciculus_L_mask.nii.gz
84,38,1,MNI_space_thr_50_Inferior_Longitudinal_Fasciculus_L_mask.nii.gz
85,38,2,MNI_space_thr_50_Inferior_Longitudinal_Fasciculus_L_mask.nii.gz
86,39,0,MNI_space_thr_50_Inferior_Longitudinal_Fasciculus_R_mask.nii.gz
87,39,1,MNI_space_thr_50_Inferior_Longitudinal_Fasciculus_R_mask.nii.gz
88,40,0,MNI_space_thr_50_Middle_Longitudinal_Fasciculus_L_mask.nii.gz
89,40,1,MNI_space_thr_50_Middle_Longitudinal_Fasciculus_L_mask.nii.gz
90,41,0,MNI_space_thr_50_Middle_Longitudinal_Fasciculus_R_mask.nii.gz
91,41,1,MNI_space_thr_50_Middle_Longitudinal_Fasciculus_R_mask.nii.gz
92,41,2,MNI_space_thr_50_Middle_Longitudinal_Fasciculus_R_mask.nii.gz
93,42,0,MNI_space_thr_50_Optic_Radiation_L_mask.nii.gz
94,42,1,MNI_space_thr_50_Optic_Radiation_L_mask.nii.gz
95,43,0,MNI_space_thr_50_Optic_Radiation_R_mask.nii.gz
96,43,1,MNI_space_thr_50_Optic_Radiation_R_mask.nii.gz
97,44,0,MNI_space_thr_50_Parietal_Aslant_Tract_L_mask.nii.gz
98,44,1,MNI_space_thr_50_Parietal_Aslant_Tract_L_mask.nii.gz
99,45,0,MNI_space_thr_50_Parietal_Aslant_Tract_R_mask.nii.gz
100,45,1,MNI_space_thr_50_Parietal_Aslant_Tract_R_mask.nii.gz
101,46,0,MNI_space_thr_50_Reticulospinal_Tract_L_mask.nii.gz
102,46,1,MNI_space_thr_50_Reticulospinal_Tract_L_mask.nii.gz
103,47,0,MNI_space_thr_50_Reticulospinal_Tract_R_mask.nii.gz
104,47,1,MNI_space_thr_50_Reticulospinal_Tract_R_mask.nii.gz
105,48,0,MNI_space_thr_50_Superior_Longitudinal_Fasciculus1_L_mask.nii.gz
106,48,1,MNI_space_thr_50_Superior_Longitudinal_Fasciculus1_L_mask.nii.gz
107,49,0,MNI_space_thr_50_Superior_Longitudinal_Fasciculus1_R_mask.nii.gz
108,49,1,MNI_space_thr_50_Superior_Longitudinal_Fasciculus1_R_mask.nii.gz
109,50,0,MNI_space_thr_50_Superior_Longitudinal_Fasciculus2_L_mask.nii.gz
110,50,1,MNI_space_thr_50_Superior_Longitudinal_Fasciculus2_L_mask.nii.gz
111,50,2,MNI_space_thr_50_Superior_Longitudinal_Fasciculus2_L_mask.nii.gz
112,51,0,MNI_space_thr_50_Superior_Longitudinal_Fasciculus2_R_mask.nii.gz
113,51,1,MNI_space_thr_50_Superior_Longitudinal_Fasciculus2_R_mask.nii.gz
114,51,2,MNI_space_thr_50_Superior_Longitudinal_Fasciculus2_R_mask.nii.gz
115,52,0,MNI_space_thr_50_Superior_Longitudinal_Fasciculus3_L_mask.nii.gz
116,52,1,MNI_space_thr_50_Superior_Longitudinal_Fasciculus3_L_mask.nii.gz
117,53,0,MNI_space_thr_50_Superior_Longitudinal_Fasciculus3_R_mask.nii.gz
118,53,1,MNI_space_thr_50_Superior_Longitudinal_Fasciculus3_R_mask.nii.gz
119,54,0,MNI_space_thr_50_Thalamic_Radiation_Anterior_L_mask.nii.gz
120,54,1,MNI_space_thr_50_Thalamic_Radiation_Anterior_L_mask.nii.gz
121,55,0,MNI_space_thr_50_Thalamic_Radiation_Anterior_R_mask.nii.gz
122,55,1,MNI_space_thr_50_Thalamic_Radiation_Anterior_R_mask.nii.gz
123,55,2,MNI_space_thr_50_Thalamic_Radiation_Anterior_R_mask.nii.gz
124,56,0,MNI_space_thr_50_Thalamic_Radiation_Posterior_L_mask.nii.gz
125,56,1,MNI_space_thr_50_Thalamic_Radiation_Posterior_L_mask.nii.gz
126,57,0,MNI_space_thr_50_Thalamic_Radiation_Posterior_R_mask.nii.gz
127,57,1,MNI_space_thr_50_Thalamic_Radiation_Posterior_R_mask.nii.gz
128,58,0,MNI_space_thr_50_Thalamic_Radiation_Superior_L_mask.nii.gz
129,58,1,MNI_space_thr_50_Thalamic_Radiation_Superior_L_mask.nii.gz
130,59,0,MNI_space_thr_50_Thalamic_Radiation_Superior_R_mask.nii.gz
131,59,1,MNI_space_thr_50_Thalamic_Radiation_Superior_R_mask.nii.gz
132,59,2,MNI_space_thr_50_Thalamic_Radiation_Superior_R_mask.nii.gz
133,60,0,MNI_space_thr_50_Uncinate_Fasciculus_L_mask.nii.gz
134,60,1,MNI_space_thr_50_Uncinate_Fasciculus_L_mask.nii.gz
135,61,0,MNI_space_thr_50_Uncinate_Fasciculus_R_mask.nii.gz
136,61,1,MNI_space_thr_50_Uncinate_Fasciculus_R_mask.nii.gz
137,62,0,MNI_space_thr_50_Vertical_Occipital_Fasciculus_L_mask.nii.gz
138,62,1,MNI_space_thr_50_Vertical_Occipital_Fasciculus_L_mask.nii.gz
139,63,0,MNI_space_thr_50_Vertical_Occipital_Fasciculus_R_mask.nii.gz
140,63,1,MNI_space_thr_50_Vertical_Occipital_Fasciculus_R_mask.nii.gz
